Symbol,Company_Name,Exchange
HDFCBANK,HDFC Bank Ltd,NSE
RELIANCE,Reliance Industries Ltd,NSE
TCS,Tata Consultancy Services Ltd,NSE
INFY,Infosys Ltd,NSE
TATAMOTORS,Tata Motors Ltd,NSE
ICICIBANK,ICICI Bank Ltd,NSE
SBIN,State Bank of India,NSE
AXISBANK,Axis Bank Ltd,NSE
KOTAKBANK,Kotak Mahindra Bank Ltd,NSE
WIPRO,Wipro Ltd,NSE
HCLTECH,HCL Technologies Ltd,NSE
LT,Larsen & Toubro Ltd,NSE
MARUTI,Maruti Suzuki India Ltd,NSE
BHARTIARTL,Bharti Airtel Ltd,NSE
SUNPHARMA,Sun Pharmaceutical Industries Ltd,NSE
ITC,ITC Ltd,NSE
HINDUNILVR,Hindustan Unilever Ltd,NSE
ASIANPAINT,Asian Paints Ltd,NSE
BAJFINANCE,Bajaj Finance Ltd,NSE
TITAN,Titan Company Ltd,NSE 
